Data,Window_Size,Hidden_Size,Learning_Rate,MAE_Celsius
2026-03-26 15:01:51,6,32,0.001,3.701
2026-03-26 15:01:52,6,32,0.005,2.3936
2026-03-26 15:01:53,6,64,0.001,2.3752
2026-03-26 15:01:53,6,64,0.005,1.277
2026-03-26 15:01:54,12,32,0.001,3.451
2026-03-26 15:01:55,12,32,0.005,2.3856
2026-03-26 15:01:56,12,64,0.001,2.8597
2026-03-26 15:01:57,12,64,0.005,0.588
2026-03-26 15:01:58,24,32,0.001,3.5654
2026-03-26 15:02:00,24,32,0.005,1.6446
2026-03-26 15:02:01,24,64,0.001,1.4524
2026-03-26 15:02:03,24,64,0.005,0.8286
2026-03-27 10:19:02,6,32,0.001,3.535
2026-03-27 10:19:03,6,32,0.005,1.8317
2026-03-27 10:19:04,6,64,0.001,2.6959
2026-03-27 10:19:05,6,64,0.005,0.7761
2026-03-27 10:19:06,12,32,0.001,3.5907
2026-03-27 10:19:07,12,32,0.005,2.2746
2026-03-27 10:19:08,12,64,0.001,1.955
2026-03-27 10:19:09,12,64,0.005,0.8997
2026-03-27 10:19:10,24,32,0.001,3.2394
2026-03-27 10:19:11,24,32,0.005,1.9374
2026-03-27 10:19:13,24,64,0.001,1.3688
2026-03-27 10:19:14,24,64,0.005,0.5664
2026-03-27 10:50:05,6,32,0.001,3.6705,800
2026-03-27 10:50:05,6,32,0.001,3.3232,1200
2026-03-27 10:50:06,6,32,0.001,3.4786,1600
2026-03-27 10:50:07,6,32,0.005,1.658,800
2026-03-27 10:50:07,6,32,0.005,2.2574,1200
2026-03-27 10:50:08,6,32,0.005,2.1399,1600
2026-03-27 10:50:09,6,64,0.001,2.3621,800
2026-03-27 10:50:09,6,64,0.001,2.4693,1200
2026-03-27 10:50:10,6,64,0.001,2.4676,1600
2026-03-27 10:50:10,6,64,0.005,0.7234,800
2026-03-27 10:50:11,6,64,0.005,0.8841,1200
2026-03-27 10:50:11,6,64,0.005,1.2791,1600
2026-03-27 10:50:12,12,32,0.001,3.6857,800
2026-03-27 10:50:13,12,32,0.001,3.3923,1200
2026-03-27 10:50:13,12,32,0.001,3.6717,1600
2026-03-27 10:50:14,12,32,0.005,1.7132,800
2026-03-27 10:50:15,12,32,0.005,2.2523,1200
2026-03-27 10:50:15,12,32,0.005,2.6272,1600
2026-03-27 10:50:16,12,64,0.001,1.6773,800
2026-03-27 10:50:17,12,64,0.001,1.6107,1200
2026-03-27 10:50:17,12,64,0.001,2.3262,1600
2026-03-27 10:50:18,12,64,0.005,0.5465,800
2026-03-27 10:50:19,12,64,0.005,0.5932,1200
2026-03-27 10:50:20,12,64,0.005,0.8966,1600
2026-03-27 10:50:21,24,32,0.001,3.4373,800
2026-03-27 10:50:22,24,32,0.001,3.5711,1200
2026-03-27 10:50:23,24,32,0.001,3.5226,1600
2026-03-27 10:50:25,24,32,0.005,2.209,800
2026-03-27 10:50:26,24,32,0.005,1.9784,1200
2026-03-27 10:50:27,24,32,0.005,2.3449,1600
2026-03-27 10:50:29,24,64,0.001,1.5324,800
2026-03-27 10:50:30,24,64,0.001,1.9091,1200
2026-03-27 10:50:31,24,64,0.001,3.1898,1600
2026-03-27 10:50:33,24,64,0.005,0.6336,800
2026-03-27 10:50:34,24,64,0.005,0.5874,1200
2026-03-27 10:50:35,24,64,0.005,0.5222,1600
2026-03-27 11:02:39,6,32,0.001,800,3.4683,15.1315,3.8899
2026-03-27 11:02:39,6,32,0.001,1200,3.4951,15.2881,3.91
2026-03-27 11:02:39,6,32,0.001,1600,3.6373,16.3321,4.0413
2026-03-27 11:02:40,6,32,0.005,800,1.5231,4.9167,2.2174
2026-03-27 11:02:40,6,32,0.005,1200,2.2103,7.6911,2.7733
2026-03-27 11:02:40,6,32,0.005,1600,2.6129,9.1585,3.0263
2026-03-27 11:02:41,6,64,0.001,800,2.2918,7.8578,2.8032
2026-03-27 11:02:41,6,64,0.001,1200,2.1445,6.5881,2.5667
2026-03-27 11:02:42,6,64,0.001,1600,2.9102,10.8085,3.2876
2026-03-27 11:02:42,6,64,0.005,800,0.7272,1.7144,1.3093
2026-03-27 11:02:43,6,64,0.005,1200,0.8074,1.9611,1.4004
2026-03-27 11:02:43,6,64,0.005,1600,0.8567,2.4181,1.555
2026-03-27 11:02:44,12,32,0.001,800,3.1744,12.7193,3.5664
2026-03-27 11:02:45,12,32,0.001,1200,3.233,13.1137,3.6213
2026-03-27 11:02:45,12,32,0.001,1600,3.3597,14.0897,3.7536
2026-03-27 11:02:46,12,32,0.005,800,2.1702,7.5452,2.7469
2026-03-27 11:02:47,12,32,0.005,1200,1.4634,4.4929,2.1196
2026-03-27 11:02:47,12,32,0.005,1600,2.2079,7.9449,2.8187
2026-03-27 11:02:48,12,64,0.001,800,2.6053,8.9849,2.9975
2026-03-27 11:02:49,12,64,0.001,1200,2.1992,7.2675,2.6958
2026-03-27 11:02:50,12,64,0.001,1600,2.6111,8.9937,2.999
2026-03-27 11:02:50,12,64,0.005,800,0.6924,1.8745,1.3691
2026-03-27 11:02:51,12,64,0.005,1200,0.4989,0.7955,0.8919
2026-03-27 11:02:52,12,64,0.005,1600,0.8151,2.1688,1.4727
2026-03-27 11:02:53,24,32,0.001,800,3.5082,15.4658,3.9327
2026-03-27 11:02:54,24,32,0.001,1200,3.3143,13.7552,3.7088
2026-03-27 11:02:55,24,32,0.001,1600,3.38,14.2366,3.7731
2026-03-27 11:02:57,24,32,0.005,800,1.8326,6.8126,2.6101
2026-03-27 11:02:58,24,32,0.005,1200,1.8105,5.4646,2.3377
2026-03-27 11:02:59,24,32,0.005,1600,2.7899,10.3501,3.2172
2026-03-27 11:03:01,24,64,0.001,800,1.3431,3.7564,1.9381
2026-03-27 11:03:02,24,64,0.001,1200,1.7227,5.9445,2.4381
2026-03-27 11:03:03,24,64,0.001,1600,1.8006,5.9371,2.4366
2026-03-27 11:03:05,24,64,0.005,800,0.7091,1.7754,1.3324
2026-03-27 11:03:06,24,64,0.005,1200,0.7346,1.541,1.2414
2026-03-27 11:03:07,24,64,0.005,1600,0.7514,1.9768,1.406
