w_size,h_size,layers,lr,act,MAE_Test_Avg
18,32,1,0.01,tanh,0.6159999214477371
12,32,1,0.01,tanh,0.6414119764851848
18,32,1,0.005,tanh,0.6476351792027112
12,64,4,0.01,tanh,0.6666801092534694
12,64,1,0.005,tanh,0.8435049803015818
12,32,4,0.01,tanh,0.8474287865089408
18,64,4,0.01,tanh,0.8602544769640151
12,32,4,0.005,tanh,0.9279463726299492
12,64,4,0.005,tanh,0.9407062822269445
12,32,1,0.005,tanh,0.9691225235970541
18,32,4,0.005,tanh,1.1272836101507495
12,64,1,0.01,tanh,1.2026544554522305
18,32,4,0.01,tanh,1.3003461980873
18,64,1,0.005,tanh,1.3106971743039955
18,64,4,0.005,tanh,1.5926093859982622
18,64,1,0.01,tanh,1.7692764998023816
